1,22,3,1,3,2,4
2,8,3,1,3,2,6
3,8,2,1,2,2,2
4,62,4,1,3,2,5
5,14,3,1,3,2,6
6,1,2,1,1,2,2
7,37,4,1,4,2,5
8,83,3,1,2,2,3
9,65,5,1,4,2,7
10,86,2,1,1,2,3
11,83,6,1,5,2,6
12,44,3,1,3,2,4
13,64,3,1,3,2,3
14,22,3,1,1,2,3
15,39,3,1,3,2,6
16,69,2,1,1,2,4
17,11,3,1,2,2,4
18,61,3,1,2,2,4
19,34,3,1,3,2,5
20,93,6,1,4,2,7
21,83,2,1,2,2,2
22,34,2,1,2,2,4
23,67,3,1,3,2,4
24,37,4,1,3,2,5
25,74,3,1,1,2,4
26,17,3,1,2,2,3
27,96,2,1,2,2,2
28,44,2,1,2,2,2
29,42,2,1,2,2,2
30,17,4,1,4,2,4
31,100,2,1,2,2,2
32,29,3,1,3,2,3
33,25,3,1,1,2,3
34,71,2,1,1,2,4
35,8,3,1,3,2,6
36,15,3,1,2,2,3
37,52,2,1,1,2,2
38,93,3,1,3,2,4
39,63,3,1,2,2,4
40,43,5,1,5,2,6
41,72,5,1,5,2,5
42,10,3,1,3,2,3
43,84,3,1,2,2,3
44,78,3,1,1,2,3
45,86,2,1,1,2,2
46,92,3,1,3,2,6
47,30,5,1,5,2,8
48,57,2,1,2,2,5
49,50,2,1,2,2,5
50,51,3,1,3,2,4
51,11,2,1,2,2,2
52,82,3,1,2,2,3
53,11,3,1,3,2,5
54,17,3,1,3,2,6
55,60,2,1,1,2,2
56,26,2,1,1,2,3
57,27,6,1,3,2,6
58,6,3,1,3,2,5
59,32,3,1,1,2,3
60,19,3,1,3,2,4
61,98,4,1,4,2,4
62,61,2,1,2,2,2
63,66,4,1,3,2,4
64,26,5,1,5,2,7
65,32,3,1,1,2,3
66,55,3,1,3,2,3
67,37,6,1,4,2,6
68,16,4,1,1,2,4
69,85,3,1,3,2,4
70,62,2,1,2,2,2
71,45,3,1,1,2,4
72,100,5,1,4,2,5
73,2,3,1,3,2,4
74,30,4,1,4,2,5
75,45,3,1,3,2,5
76,2,2,1,1,2,2
77,100,2,1,2,2,5
78,88,3,1,3,2,4
79,66,4,1,4,2,4
80,80,3,1,3,2,3
81,59,3,1,3,2,3
82,6,3,1,2,2,5
83,25,2,1,1,2,3
84,30,4,1,4,2,5
85,37,3,1,3,2,5
86,75,3,1,2,2,3
87,78,4,1,2,2,4
88,34,2,1,1,2,4
89,93,2,1,2,2,2
90,97,4,1,2,2,5
91,98,4,1,4,2,5
92,37,4,1,3,2,4
93,99,2,1,2,2,2
94,16,3,1,3,2,5
95,81,4,1,4,2,4
96,44,5,1,5,2,5
97,77,3,1,3,2,3
98,27,4,1,2,2,5
99,92,3,1,3,2,4
100,12,4,1,1,2,4
101,152,8,1,8,2,8
102,157,8,1,6,2,8
103,170,6,1,6,2,7
104,38,6,1,5,2,6
105,95,5,1,5,2,6
106,108,9,1,6,2,9
107,53,11,1,11,2,14
108,37,7,1,7,2,10
109,138,6,1,5,2,6
110,178,6,1,6,2,6
111,64,8,1,8,2,9
112,36,7,1,6,2,8
113,70,5,1,5,2,6
114,100,6,1,4,2,6
115,51,6,1,6,2,8
116,61,6,1,5,2,6
117,147,7,1,7,2,8
