1,5,60
2,4,108
3,5,116
4,5,69
5,4,80
6,6,27
7,4,73
8,6,66
9,6,52
10,6,29
11,4,117
12,5,120
13,5,63
14,5,79
15,4,3
16,5,84
17,5,33
18,4,3
19,4,40
20,5,93
21,5,3
22,4,77
23,7,74
24,5,29
25,5,44
26,5,116
27,5,39
28,5,104
29,4,67
30,6,105
31,6,12
32,7,106
33,5,71
34,6,5
35,4,63
36,4,45
37,5,26
38,5,67
39,4,36
40,6,53
41,5,60
42,4,82
43,5,98
44,4,53
45,7,25
46,5,19
47,5,25
48,4,114
49,6,51
50,4,62
51,6,27
52,4,53
53,6,21
54,5,63
55,5,51
56,6,54
57,5,6
58,4,120
59,5,46
60,5,15
61,4,94
62,6,93
63,7,20
64,6,31
65,4,8
66,5,71
67,4,101
68,4,68
69,5,119
70,5,2
71,7,1
72,5,103
73,5,35
74,4,28
75,4,101
76,7,56
77,5,100
78,5,72
79,4,54
80,4,93
81,4,77
82,6,59
83,5,105
84,6,112
85,8,25
86,4,29
87,8,109
88,6,78
89,6,92
90,5,42
91,5,96
92,6,116
93,4,18
94,5,73
95,5,27
96,5,42
97,6,99
98,5,111
99,6,48
100,6,104
101,6,29
102,5,87
103,4,12
104,5,12
105,5,112
106,5,72
107,5,11
108,6,79
109,6,88
110,4,9
111,4,67
112,4,110
113,4,100
114,4,115
115,7,98
116,4,4
117,4,18
118,7,70
119,5,103
120,4,73
121,6,105
122,5,9
123,6,34
124,6,50
125,6,88
126,4,25
127,5,24
128,6,33
129,4,114
130,5,2
131,7,84
132,5,82
133,5,115
134,6,69
135,5,110
136,6,12
137,5,106
138,6,75
139,5,75
140,6,79
141,4,57
142,6,93
143,4,41
144,5,108
145,4,17
146,5,96
147,4,106
148,4,65
149,5,10
150,5,108
151,4,47
152,6,55
153,6,97
154,4,5
155,5,116
156,5,120
157,7,119
158,7,10
159,6,65
160,5,82
161,5,26
162,5,118
163,5,7
164,6,101
165,5,86
166,7,109
167,5,109
168,4,2
